24849	57	3	14.22
11382	12	10	9.24
792	1484	3	10.43
248	1108	7	11.45
102	2931	26	7.02
759	577	4	8.24
182	2911	28	156.53
126	36707	3	16.67
2345	16959	7	103.3
19689	112	5	16.68
127	499	46	29.11
16359	123	5	19.38
629	430	5	7.42
2703	315	3	7.26
693	229	8	7.3
1201	163	9	7.63
285	3264	3	7.71
185	161	78	25.13
101	1691	43	8.69
122	35500	3	15.51
27463	217	4	35.43
36874	102	3	6.66
281	329	16	17.04
105	2840	18	11
1807	527	3	9.06
187	4130	4	9.19
2797	102	29	9.8
5712	173	4	10.7
29194	127	3	17.14
1298	696	3	8.84
2255	1887	3	18.26
1235	257	5	7.88
722	2541	4	19.63
127	825	21	7.45
130	1318	15	9.49
664	616	4	7.85
4402	116	9	7
131	1450	13	7.46
7950	274	3	13.07
101	1412	53	12.83
186	2018	7	14.31
602	1044	3	6.8
182	506	19	19.35
103	125	1776	20.55
1532	9	24	40.51
3872	10193	5	63.15
543	16	49	15.8
1087	276	5	6.71
247	8198	4	19.2
572	1688	4	14.51
578	947	4	9.88
893	169	11	9.47
2426	373	3	8.1
12	7988	13	9.86
189	8092	3	9.87
156	7279	4	10.19
16	10222	6	13.73
4023	109	11	8.18
120	489	53	19.1
5941	15612	6	96.51
121	120	708	7.19
1231	138	128	787.65
3176	126	10	12.02
19681	103	5	8.56
107	15555	4	7.99
1706	1009	4	19.58
177	155	83	14.02
21	960	30	57.38
152	2565	7	8.72
658	2368	3	12.16
337	978	5	8.41
5797	474	3	15.72
3912	175	4	7.56
779	739	4	10.35
7876	185	3	9.29
2856	755	3	14.05
17366	127	3	9.18
848	5942	4	29.46
122	6441	6	8.25
1954	1698	3	16.74
491	930	4	8.5
13	10363	3	6.81
103	37613	3	8.01
441	14397	5	44.69
13974	8	3	7.73
2589	119	14	12.18
609	2409	12	81.04
3829	111	10	6.7
165	2790	8	17.27
135	2562	11	14
8721	106	7	10.73
37740	102	3	6.66
28721	106	3	8.34
135	209	87	7.71
16	16832	4	10.5
13	833	18	11.81
119	16700	7	34.38
4409	123	31	155.73
2197	164	9	17.73
108	1280	27	9.79
569	5176	3	16.35
29617	755	3	36.9
19340	678	6	72.79
59	5286	5	7.69
14982	117	4	8.74
112	4456	9	6.79
105	27738	3	7.03
6603	3848	3	30.28
193	4468	4	10.1
882	914	3	8.46
15114	246	3	17.13
377	245	19	23.07
2	7361	7	13.72
23368	116	3	7.13
8272	101	11	8.64
150	9629	3	6.74
2895	141	10	15.46
1124	499	15	77.33
266	3192	3	6.84
13275	8	5	17.7
11130	168	3	10.31
2239	127	12	11.82
169	932	12	12.51
5436	124	6	7.66
12216	16	5	11.44
2	17456	3	7.6
648	641	4	7.76
22294	122	4	15.84
2781	837	3	14.55
6818	105	11	16.54
3331	290	3	7.94
12856	2695	9	135.96
3869	152	5	7.21
106	36751	3	12.58
166	20255	3	16.2
300	340	12	9.6
1577	3402	3	19.9
19519	120	4	12.73
366	461	15	35.23
8837	261	3	13.98
1415	1783	3	15.04
2437	360	3	7.86
1099	404	5	11.86
589	202	16	22.12
4068	215	3	6.65
2121	1127	5	30.05
14756	25781	4	77.92
1609	204	8	16.81
169	4377	4	7.91
5156	3692	6	66.76
1073	422	4	8.27
404	1077	6	16.14
6025	3126	21	335.49
2439	456	3	9.73
533	20022	5	57.72
5511	205	3	8.45
2534	131	11	12.5
1420	3055	3	18.61
1008	316	5	8
531	1338	3	7.49
169	5122	4	8.88
33020	207	3	25.98
204	158	51	8.28
23953	8900	4	72.26
9	14744	3	7.84
